RAM_GB,Storage_SSD,CPU_GHz,Daily_Usage_hr,Background_Apps,Degradation_Percent
16.0,1.0,2.06,9.0,6.0,31.192887624940376
4.0,1.0,3.55,7.0,14.0,38.90510167974964
16.0,0.0,2.36,6.0,18.0,40.0
16.0,1.0,2.37,6.0,12.0,26.071460777669877
4.0,1.0,1.58,7.0,11.0,
4.0,0.0,2.87,8.0,13.0,40.0
16.0,1.0,2.84,2.0,21.0,32.16512146754484
8.0,0.0,2.39,10.0,23.0,40.0
16.0,0.0,3.74,4.0,11.0,36.682357654057235
16.0,1.0,1.82,5.0,23.0,40.0
16.0,1.0,2.33,11.0,16.0,36.90262816345232
16.0,1.0,2.3,2.0,15.0,32.706455049088305
4.0,1.0,1.73,11.0,21.0,40.0
16.0,0.0,2.7,4.0,15.0,40.0
8.0,1.0,3.22,3.0,4.0,33.546839667236796
4.0,0.0,2.78,3.0,11.0,40.0
8.0,1.0,1.89,2.0,19.0,37.237487129369995
8.0,1.0,2.44,9.0,15.0,40.0
8.0,1.0,1.51,4.0,4.0,35.154395933779576
8.0,0.0,3.67,,21.0,40.0
4.0,1.0,1.71,7.0,13.0,40.0
4.0,1.0,2.99,9.0,22.0,40.0
8.0,1.0,3.97,10.0,19.0,39.93953983487725
8.0,1.0,2.84,10.0,2.0,36.26215890279958
4.0,0.0,3.81,5.0,14.0,40.0
4.0,1.0,2.09,6.0,4.0,35.84010023791578
4.0,0.0,3.4,3.0,16.0,40.0
16.0,0.0,2.83,10.0,21.0,40.0
16.0,0.0,3.3,9.0,20.0,40.0
16.0,0.0,1.66,4.0,14.0,39.659553256689854
8.0,,1.87,10.0,15.0,40.0
16.0,0.0,1.83,4.0,3.0,35.15290977193017
8.0,1.0,3.22,10.0,8.0,39.54003177935136
8.0,0.0,3.61,3.0,16.0,40.0
16.0,0.0,3.37,11.0,10.0,40.0
8.0,0.0,1.58,10.0,4.0,
16.0,,3.67,9.0,18.0,35.92417007635796
16.0,1.0,2.39,10.0,2.0,35.27262274982026
4.0,0.0,2.49,6.0,17.0,40.0
16.0,1.0,1.76,3.0,13.0,26.964574623387172
4.0,0.0,3.34,9.0,4.0,40.0
16.0,0.0,1.96,7.0,11.0,40.0
16.0,1.0,2.91,9.0,7.0,31.414064341646196
4.0,0.0,3.6,6.0,12.0,40.0
4.0,1.0,1.72,11.0,10.0,40.0
16.0,1.0,2.84,3.0,7.0,24.827711384073883
8.0,0.0,2.08,7.0,13.0,40.0
4.0,0.0,2.36,6.0,7.0,40.0
8.0,1.0,2.68,6.0,24.0,40.0
8.0,0.0,2.39,2.0,17.0,40.0
8.0,0.0,3.12,3.0,,40.0
4.0,0.0,2.7,9.0,10.0,40.0
8.0,1.0,2.96,4.0,24.0,40.0
4.0,1.0,3.34,11.0,4.0,31.88031795591951
8.0,0.0,2.89,4.0,20.0,40.0
16.0,1.0,2.97,9.0,4.0,31.10924154284615
16.0,1.0,2.91,9.0,22.0,40.0
4.0,1.0,2.45,3.0,7.0,33.15799956908016
16.0,1.0,2.34,9.0,22.0,40.0
16.0,,3.75,2.0,1.0,22.766525086405053
8.0,0.0,3.02,7.0,12.0,40.0
4.0,0.0,2.11,9.0,24.0,40.0
8.0,0.0,2.75,4.0,13.0,40.0
8.0,1.0,2.33,9.0,10.0,29.085168449285966
8.0,1.0,3.83,2.0,15.0,29.377226941649432
8.0,0.0,1.52,10.0,13.0,40.0
8.0,1.0,2.06,10.0,23.0,40.0
